Id,Sales_Price,Baths,Land_size,Beds,House_size,Location
7894,9500000,2,25,4,2215,"AnuradhapuraCity,Anuradhapura"
7895,26500000,3,10.5,4,3150,"Negombo,Gampaha"
7896,26500000,3,10.5,4,3150,"Negombo,Gampaha"
7897,16500000,2,12.5,3,1650,"Negombo,Gampaha"
7898,20000000,2,8,4,1500,"Wadduwa,Kalutara"
7899,25000000,2,25.25,4,2800,"GampahaCity,Gampaha"
7900,30000000,2,10.75,2,1600,"Moratuwa,Colombo"
7901,4200000,1,10,4,1200,"Kiribathgoda,Gampaha"
7902,14200000,2,7.6,3,1100,"Malabe,Colombo"
7903,23500000,3,6,4,2500,"Malabe,Colombo"
7904,23500000,3,6,4,2500,"Malabe,Colombo"
7905,14000000,2,8,3,1500,"Piliyandala,Colombo"
7906,12300000,1,15.5,4,1768,"KegalleCity,Kegalle"
7907,13800000,2,10,3,1500,"Piliyandala,Colombo"
7908,29000000,4,10,4,2600,"Malabe,Colombo"
7909,28000000,4,10,4,2800,"Malabe,Colombo"
7910,52000000,7,12,,5700,"Malabe,Colombo"
7911,34000000,1,20,4,1250,"Kelaniya,Gampaha"
7912,16500000,1,9.2,3,2500,"Wattala,Gampaha"
7913,14500000,2,12,3,1000,"Kesbewa,Colombo"
7914,18500000,3,211,3,1400,"GampahaCity,Gampaha"
7915,40000000,4,20,8,5000,"Homagama,Colombo"
7916,33500000,4,16.4,6,3600,"Kottawa,Colombo"
7917,14500000,2,7,2,1600,"Angoda,Colombo"
7918,23500000,3,7,5,3250,"Piliyandala,Colombo"
7919,17500000,3,6.5,4,1600,"Piliyandala,Colombo"
7920,18500000,2,10,3,1200,"Piliyandala,Colombo"
7921,28500000,4,8.5,4,3000,"Piliyandala,Colombo"
7922,5000000,1,7.6,2,1200,"GalleCity,Galle"
7923,6500000,1,17,3,1220,"Kundasale,Kandy"
7924,13500000,1,14,3,1400,"Piliyandala,Colombo"
7925,6500000,1,10,3,800,"Wadduwa,Kalutara"
7926,23000000,3,8,3,1800,"Piliyandala,Colombo"
7927,70000000,3,17.5,4,2800,"Pannipitiya,Colombo"
7928,17500000,3,10,5,2500,"Kottawa,Colombo"
